Settings === Total time = 10000, Number of Nodes = 6, Speed = 10
Time	Node	Pos_X	Pos_Y
218	1	170	1000
218	2	840	1000
218	3	1490	1000
218	4	1585	1000
218	5	2255	1000
218	6	2925	1000
219	1	180	1000
219	2	860	1000
219	3	1460	1000
219	4	1590	1000
219	5	2270	1000
219	6	2950	1000
220	1	190	1000
220	2	880	1000
220	3	1430	1000
220	4	1595	1000
220	5	2285	1000
220	6	2975	1000
221	1	200	1000
221	2	900	1000
221	3	1400	1000
221	4	1600	1000
221	5	2300	1000
221	6	3000	1000
222	1	210	1000
222	2	920	1000
222	3	1370	1000
222	4	1605	1000
222	5	2315	1000
222	6	2975	1000
223	1	220	1000
223	2	940	1000
223	3	1340	1000
223	4	1610	1000
223	5	2330	1000
223	6	2950	1000
224	1	230	1000
224	2	960	1000
224	3	1310	1000
224	4	1615	1000
224	5	2345	1000
224	6	2925	1000
225	1	240	1000
225	2	980	1000
225	3	1280	1000
225	4	1620	1000
225	5	2360	1000
225	6	2900	1000
226	1	250	1000
226	2	1000	1000
226	3	1250	1000
226	4	1625	1000
226	5	2375	1000
226	6	2875	1000
227	1	260	1000
227	2	980	1000
227	3	1220	1000
227	4	1630	1000
227	5	2390	1000
227	6	2850	1000
228	1	270	1000
228	2	960	1000
228	3	1190	1000
228	4	1635	1000
228	5	2405	1000
228	6	2825	1000
229	1	280	1000
229	2	940	1000
229	3	1160	1000
229	4	1640	1000
229	5	2420	1000
229	6	2800	1000
230	1	290	1000
230	2	920	1000
230	3	1130	1000
230	4	1645	1000
230	5	2435	1000
230	6	2775	1000
231	1	300	1000
231	2	900	1000
231	3	1100	1000
231	4	1650	1000
231	5	2450	1000
231	6	2750	1000
232	1	310	1000
232	2	880	1000
232	3	1070	1000
232	4	1655	1000
232	5	2465	1000
232	6	2725	1000
233	1	320	1000
233	2	860	1000
233	3	1040	1000
233	4	1660	1000
233	5	2480	1000
233	6	2700	1000
234	1	330	1000
234	2	840	1000
234	3	1010	1000
234	4	1665	1000
234	5	2495	1000
234	6	2675	1000
235	1	340	1000
235	2	820	1000
235	3	1020	1000
235	4	1670	1000
235	5	2490	1000
235	6	2650	1000
236	1	350	1000
236	2	800	1000
